TeamNumber,GameNumber,GStatNumber,GameDate,GameType,Location,Innings,HomeTeam,Opponent,OpponentTeamNumber,OpponentGStatNumber,DP,Runs,RunsInning1,RunsInning2,RunsInning3,RunsInning4,RunsInning5,RunsInning6,RunsInning7,RunsInning8,RunsInning9,RunsInningX,OppRuns,OppRunsInning1,OppRunsInning2,OppRunsInning3,OppRunsInning4,OppRunsInning5,OppRunsInning6,OppRunsInning7,OppRunsInning8,OppRunsInning9,OppRunsInningX,Notes
38,17,198,"03/18/11 00:00:00",1,"Buffalo Glen",7,0,"Wings W11",44,0,0,19,5,0,4,5,5,0,0,0,0,0,20,5,5,0,1,3,5,1,0,0,0,
38,18,215,"03/25/11 00:00:00",1,"Buffalo Glen",7,1,"Canucks W11",40,0,0,18,5,0,4,3,3,1,2,0,0,0,24,1,0,4,3,6,1,9,0,0,0,
38,19,218,"03/30/11 00:00:00",1,"Buffalo Glen",7,0,"Avalanche W11",37,0,0,7,0,0,0,2,3,2,0,0,0,0,10,5,2,1,2,0,0,0,0,0,0,
39,1,5,"01/05/11 00:00:00",1,"Buffalo Glen",7,0,"Panthers W11",42,0,0,15,1,0,4,0,5,2,3,0,0,0,16,5,0,1,4,4,1,1,0,0,0,
39,2,60,"01/07/11 00:00:00",1,"Buffalo Glen",7,0,"Flames W11",41,0,0,11,1,0,5,0,5,0,0,0,0,0,7,0,0,5,0,0,2,0,0,0,0,
39,3,70,"01/12/11 00:00:00",1,"Buffalo Glen",7,0,"Hurricanes W11",38,0,0,14,2,2,0,5,0,5,0,0,0,0,12,2,0,4,3,2,0,1,0,0,0,
39,4,73,"01/19/11 00:00:00",1,"Buffalo Glen",6,1,"Wings W11",44,0,0,12,3,1,0,2,5,1,0,0,0,0,28,4,5,5,5,4,5,0,0,0,0,
39,5,84,"01/28/11 00:00:00",1,"Buffalo Glen",7,0,"Avalanche W11",37,0,0,16,5,0,5,5,0,0,1,0,0,0,11,0,0,5,4,1,1,0,0,0,0,
39,6,89,"02/02/11 00:00:00",1,"Buffalo Glen",6,1,"Vipers W11",43,0,0,13,4,5,2,1,0,1,0,0,0,0,29,5,5,5,6,4,4,0,0,0,0,
39,7,103,"02/04/11 00:00:00",1,"Buffalo Glen",7,1,"Panthers W11",42,0,0,7,0,5,0,1,0,1,0,0,0,0,18,5,5,0,5,3,0,0,0,0,0,
39,8,107,"02/09/11 00:00:00",1,"Buffalo Glen",7,1,"Flames W11",41,0,0,4,0,0,0,3,1,0,0,0,0,0,10,5,1,0,0,0,2,2,0,0,0,
39,9,117,"02/11/11 00:00:00",1,"Buffalo Glen",7,1,"Hurricanes W11",38,0,0,15,0,0,5,5,5,0,0,0,0,0,19,2,1,3,1,5,5,2,0,0,0,
39,10,124,"02/16/11 00:00:00",1,"Buffalo Glen",7,0,"Mighty Ducks W11",36,0,0,19,4,5,0,0,0,3,7,0,0,0,20,3,6,3,0,1,5,2,0,0,0,
39,11,130,"02/18/11 00:00:00",1,"Buffalo Glen",7,0,"Wings W11",44,0,0,13,2,3,3,3,1,1,0,0,0,0,18,2,1,3,2,6,4,0,0,0,0,
39,12,148,"02/25/11 00:00:00",1,"Buffalo Glen",7,0,"Canucks W11",40,0,0,12,1,0,2,2,1,3,3,0,0,0,15,5,5,0,3,0,2,0,0,0,0,
39,13,157,"03/02/11 00:00:00",1,"Buffalo Glen",7,1,"Avalanche W11",37,0,0,17,5,4,0,3,0,5,0,0,0,0,14,5,0,1,0,1,1,6,0,0,0,
39,14,166,"03/04/11 00:00:00",1,"Buffalo Glen",7,0,"Vipers W11",43,0,0,9,2,5,0,0,1,0,1,0,0,0,11,0,0,0,5,5,1,0,0,0,0,
39,15,168,"03/09/11 00:00:00",1,"Buffalo Glen",7,0,"Panthers W11",42,0,0,5,0,0,0,2,0,1,2,0,0,0,7,3,0,0,0,0,4,0,0,0,0,
39,16,181,"03/11/11 00:00:00",1,"Buffalo Glen",7,1,"Flames W11",41,0,0,21,5,5,1,3,1,1,5,0,0,0,20,2,0,3,5,5,5,0,0,0,0,
39,17,188,"03/16/11 00:00:00",1,"Buffalo Glen",7,0,"Hurricanes W11",38,0,0,15,2,5,1,5,0,2,0,0,0,0,17,4,1,3,1,3,5,0,0,0,0,
